package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2025-11-18,6 Minute Walk Functional Test,C115789,C115789,C81250,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82525,C82525,Test Occurrence,string,N;Y
2025-11-18,6 Minute Walk Functional Test,C115789,C115789,C81250,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C93300,C93300,Assistive Device,string,cane
2025-11-18,6 Minute Walk Functional Test,C115789,C115789,C81250,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82515,C82515,Collection Date Time,datetime,
2025-11-18,6 Minute Walk Functional Test,C115789,C115789,C81250,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C25372,C25372,Category,string,SIX MINUTE WALK
2025-11-18,6MWT - Distance at 1 Minute,C115800,C115800,C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW101;SIXMW1-Distance at 1 Minute,Quantitative,6 Minute Walk Test (6MWT) Distance at 1 minute.,,,,C42578,C42578,Unit of Length,string,meter
2025-11-18,6MWT - Distance at 1 Minute,C115800,C115800,C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW101;SIXMW1-Distance at 1 Minute,Quantitative,6 Minute Walk Test (6MWT) Distance at 1 minute.,,,,C82515,C82515,Collection Date Time,datetime,
2025-11-18,6MWT - Distance at 1 Minute,C115800,C115800,C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW101;SIXMW1-Distance at 1 Minute,Quantitative,6 Minute Walk Test (6MWT) Distance at 1 minute.,,,,C93300,C93300,Assistive Device,string,cane
2025-11-18,6MWT - Distance at 1 Minute,C115800,C115800,C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW101;SIXMW1-Distance at 1 Minute,Quantitative,6 Minute Walk Test (6MWT) Distance at 1 minute.,,,,C25372,C25372,Category,string,SIX MINUTE WALK
2025-11-18,6MWT - Distance at 1 Minute,C115800,C115800,C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW101;SIXMW1-Distance at 1 Minute,Quantitative,6 Minute Walk Test (6MWT) Distance at 1 minute.,,,,C91106,C91106,Clinical or Research Assessment Answer,integer,
2025-11-18,6MWT - Distance at 2 Minutes,C115801,C115801,C115409,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT;6MWT Functional Test Question,SIXMW102;SIXMW1-Distance at 2 Minutes,Quantitative,6 Minute Walk Test (6MWT) Distance at 2 minutes.,,,,C25372,C25372,Category,string,SIX MINUTE WALK
