bc_short_name,bc_id,bc_short_name_id,parent_bc_id,bc_categories,bc_synonyms,result_scales,bc_definition,bc_hierarchy_level,bc_hierarchy_full,dec_n
Abdominal Skinfold Thickness,C103346,Abdominal Skinfold Thickness (C103346),C77537,Vital Signs;Body Measurements,ABSKNF,Quantitative,A measurement for determining the subcutaneous fat layer thickness whereby a pinch of skin approximately five centimeters to the right of the umbilicus is measured using calipers.,1,Skinfold Thickness Analysis (C77537); Abdominal Skinfold Thickness (C103346),3
Additional Disease-Related Findings,C189634,Additional Disease-Related Findings (C189634),C36291,Respiratory System Findings,ADDRELF,Nominal;Narrative,"A determination of additional abnormalities and/or other observations that may be associated with the disease of interest, for which a targeted test has not been identified in the data.",1,Finding by Cause (C36291); Additional Disease-Related Findings (C189634),2
Air Trapping Measurement,C170620,Air Trapping Measurement (C170620),C38081,Respiratory System Findings;Pulmonary Function Test,Air Trapping;AIRTRAP,Quantitative,A measurement of the gas retention in a specified intrapulmonary space at the end of exhalation.,1,Pulmonary Function Test (C38081); Air Trapping Measurement (C170620),3
Airway Conductance,C124422,Airway Conductance (C124422),C38081,Respiratory System Findings;Pulmonary Function Test,GAW,Quantitative,"The instantaneous rate of gas flow in the airway, expressed as the pressure difference between any given part of the airway and the alveoli; it is the reciprocal of airway resistance (Raw).",1,Pulmonary Function Test (C38081); Airway Conductance (C124422),2
Airway Resistance,C120927,Airway Resistance (C120927),C38081,Respiratory System Findings;Pulmonary Function Test,AIRRES;RAW;Raw,Quantitative,An assessment of the opposition to airflow through the respiratory tract on inspiration and/or expiration.,1,Pulmonary Function Test (C38081); Airway Resistance (C120927),3
Airway Volume,C170457,Airway Volume (C170457),C25335,Respiratory System Findings,AWVOL,Quantitative,The total volume of gas in a specified airway or set of airways at a specified point in time in the respiratory cycle.,1,Volume (C25335); Airway Volume (C170457),3
Airway Wall Volume,C170619,Airway Wall Volume (C170619),C170457,Respiratory System Findings,AWWVOL,Quantitative,The volume of the entirety of the airway tissue in a specified intrapulmonary region.,2,Volume (C25335); Airway Volume (C170457); Airway Wall Volume (C170619),3
Alveolar Volume,C156584,Alveolar Volume (C156584),C38081,Respiratory System Findings;Pulmonary Function Test,ALVVOL;VA,Quantitative,The quantity of fresh gas that enters the alveoli during inspiration.,1,Pulmonary Function Test (C38081); Alveolar Volume (C156584),3
Analysis,C25391,Analysis (C25391),,Analysis;Respiratory System Findings;Electrocardiogram Findings;Electrocardiogram Interpretation;ECG Findings;ECG Interpretation,Analyze;Analytical;Analyzed,,"Examination and interpretation; the process of identifying an issue to be understood and addressed, modelling the issue, investigating the model results, interpreting the results, and possibly making a recommendation. The concept also refers to the examination and study of a whole in terms of the parts composing it.",0,Analysis (C25391),0
Anatomical Circumference,C172255,Anatomical Circumference (C172255),,Vital Signs;Body Measurements,,,Measurements of body parts that have a measurable distance around them.,0,Anatomical Circumference (C172255),0
Ankle-Brachial Index,C87304,Ankle-Brachial Index (C87304),C19591,Vital Signs;Blood Pressure,ABI;Ankle-Arm Index;Ankle-Arm Pressure Index;Ankle-Brachial Pressure Index,Quantitative,"The ratio of ankle systolic pressure to brachial systolic pressure, used to assess arterial insufficiency in the lower extremities.",1,Diagnostic Factor (C19591); Ankle-Brachial Index (C87304),2
