package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2026-05-26,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82525,C82525,Test Occurrence,string,N;Y
2026-05-26,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C93300,C93300,Assistive Device,string,cane
2026-05-26,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C25372,C25372,Category,string,SIX MINUTE WALK
2026-05-26,6 Minute Walk Functional Test 2008 Version,C115789,C115789,C222260,QRS;Functional Assessment;6 Minute Walk Functional Test;SIX MINUTE WALK;SIXMW1;6MWT,6MWT;SIXMW1;SIX MINUTE WALK,,"A standardized rating scale developed by Bruno Blake in 1963, which is a performance-based evaluation of functional exercise capacity in subjects with chronic respiratory disease and heart failure, as well as other populations such as healthy older adults and people suffering from fibromyalgia and scleroderma. This functional test contains 6 items and measures the distance an individual is able to walk over a total of six minutes on a hard, flat surface.",,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Abnormal Bleeding Indicator,C154889,C154889,C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BLEEDIND;Abnormal Indicator,Nominal,An indication as to whether there is the presence of abnormal bleeding.,,,,C25185,C25185,Laterality,string,Left;Right
2026-05-26,Abnormal Bleeding Indicator,C154889,C154889,C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BLEEDIND;Abnormal Indicator,Nominal,An indication as to whether there is the presence of abnormal bleeding.,,,,C82515,C82515,Collection Date Time,datetime,
2026-05-26,Abnormal Bleeding Indicator,C154889,C154889,C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BLEEDIND;Abnormal Indicator,Nominal,An indication as to whether there is the presence of abnormal bleeding.,,,,C70856,C70856,Observation Result,string,N;Y;U
2026-05-26,Abnormal Bleeding Indicator,C154889,C154889,C181043,Reproductive Findings;Clinical Findings Indicator;Indicator,BLEEDIND;Abnormal Indicator,Nominal,An indication as to whether there is the presence of abnormal bleeding.,,,,C13717,C13717,Anatomic Site,string,
2026-05-26,Abnormal Involuntary Movement Scale Clinical Classification,C102111,C102111,C118969,QRS;Clinical or Research Assessment Classification;Abnormal Involuntary Movement Scale Clinical Classification;AIMS;AIMS01,AIMS;AIMS01,,"A standardized rating scale developed by William Guy in 1976 which is used to evaluate the severity of tardive dyskinesia in individuals taking neuroleptic agents. This instrument contains 5 sections with a total of 12 items pertaining to facial and oral movements, global judgments, trunk movements, dental status, and extremity movements. Each item is rated on either a 0 to 4 scale with 0 being none and 4 being severe, or as 'yes' or 'no.'",,,,C25372,C25372,Category,string,AIMS
2026-05-26,Abnormal Involuntary Movement Scale Clinical Classification,C102111,C102111,C118969,QRS;Clinical or Research Assessment Classification;Abnormal Involuntary Movement Scale Clinical Classification;AIMS;AIMS01,AIMS;AIMS01,,"A standardized rating scale developed by William Guy in 1976 which is used to evaluate the severity of tardive dyskinesia in individuals taking neuroleptic agents. This instrument contains 5 sections with a total of 12 items pertaining to facial and oral movements, global judgments, trunk movements, dental status, and extremity movements. Each item is rated on either a 0 to 4 scale with 0 being none and 4 being severe, or as 'yes' or 'no.'",,,,C82525,C82525,Test Occurrence,string,N;Y
