package_date,bc_id,vlm_group_id,standard,standard_start_version,standard_end_version,domain,collection_group_id,implementation_option,scenario,short_name,collection_item,variable_name,dec_id,question_text,prompt,order_number,mandatory_variable,data_type,length,significant_digits,display_hidden,codelist,codelist_submission_value,value_list,value_display_list,selection_type,prepopulated_term,prepopulated_code,sdtm_target_variable,sdtm_annotation,sdtm_mapping
2025-12-31,C83347,,CDASHIG,2-1,,AE,AE,,,Adverse Event Yes No Indicator,AEYN,AEYN,C83347,Were any adverse events experienced?,,1,N,text,1,,N,C66742,NY,N;Y,No;Yes,Single,,,,[NOT SUBMITTED],
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AETERM,AETERM,C78541,,Adverse Event,1,Y,text,200,,N,,,,,,,,AETERM,AETERM,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AESTDAT,AESTDAT,C83215,,Start Date,2,Y,date,10,,N,,,,,,,,AESTDAT,AESTDAT,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AEONGO,AEONGO,C83051,,Ongoing (as of [the study-specific time point or period]),3,N,text,1,,N,,,N;Y,No;Yes,Single,,,AEONGO,AEONGO,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AEENDAT,AEENDAT,C83201,,End Date,4,Y,date,10,,N,,,,,,,,AEENDAT,AEENDAT,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AESEV,AESEV,C53253,,Severity,5,N,text,200,,N,C66769,AESEV,MILD;MODERATE;SEVERE,Mild;Moderate;Severe,Single,,,AESEV,AESEV,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AESER,AESER,C53252,,Serious,6,Y,text,1,,N,C66742,NY,N;Y,No;Yes,Single,,,AESER,AESER,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AESDTH,AESDTH,C48275,,Death,7,N,text,1,,N,C66742,NY,N;Y,No;Yes,Single,,,AESDTH,AESDTH,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AESLIFE,AESLIFE,C84266,,Life Threatening,8,N,text,1,,N,C66742,NY,N;Y,No;Yes,Single,,,AESLIFE,AESLIFE,
2025-12-31,C179175,AE,CDASHIG,2-1,,AE,AE_HORIZONTAL,Horizontal,,Adverse Event Free Text Format (Horizontal),AESHOSP,AESHOSP,C83052,,Hospitalization (initial or prolonged),9,N,text,1,,N,C66742,NY,N;Y,No;Yes,Single,,,AESHOSP,AESHOSP,
