package_date,bc_id,sdtmig_start_version,sdtmig_end_version,domain,vlm_source,vlm_group_id,short_name,sdtm_variable,dec_id,nsv_flag,codelist,codelist_submission_value,subset_codelist,value_list,assigned_term,assigned_value,role,subject,linking_phrase,predicate_term,object,data_type,length,format,significant_digits,mandatory_variable,mandatory_value,origin_type,origin_source,comparator,vlm_target
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AETERM,C78541,N,,,,,,,Topic,AETERM,is original text for,IS_ORIGINAL_TEXT_FOR,AEDECODE,text,200.0,,,Y,Y,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEDECOD,C83344,N,,,,,,,Qualifier,AEDECOD,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AELLT,,N,,,,,,,Qualifier,AELLT,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AELLTCD,,N,,,,,,,Qualifier,AELLTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEPTCD,,N,,,,,,,Qualifier,AEPTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEHLT,,N,,,,,,,Qualifier,AEHLT,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEHLTCD,,N,,,,,,,Qualifier,AEHLTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEHLGT,,N,,,,,,,Qualifier,AEHLGT,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEHLGTCD,,N,,,,,,,Qualifier,AEHLGTCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AECAT,C83198,N,,,,,,,Qualifier,AECAT,groups values in,GROUPS,AETERM,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESCAT,C83212,N,,,,,,,Qualifier,AESCAT,values are grouped by,IS_GROUPED_BY,AECAT,text,200.0,,,N,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEBODSYS,,N,,,,,,,Qualifier,AEBODSYS,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEBDSYCD,,N,,,,,,,Qualifier,AEBDSYCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESOC,,N,,,,,,,Qualifier,AESOC,is a dictionary-derived term for the value in,IS_DERIVED_FROM,AETERM,text,200.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESOCCD,,N,,,,,,,Qualifier,AESOCCD,is the code for the value in,IS_DECODED_BY,AETERM,integer,8.0,,,Y,N,Assigned,Sponsor,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AELOC,C83205,N,C74456,LOC,,,,,Qualifier,AELOC,specifies the anatomical location in,SPECIFIES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESEV,C53253,N,C66769,AESEV,,,,,Qualifier,AESEV,assesses the severity of,ASSESSES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESER,C53252,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESER,assesses seriousness of,ASSESSES,AETERM,text,1.0,,,Y,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEACN,C83013,N,C66767,ACN,,,,,Qualifier,AEACN,describes actions taken,DESCRIBES,AETERM,text,200.0,,,Y,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEACNOTH,C83109,N,,,,,,,Qualifier,AEACNOTH,describes actions taken,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEREL,C41358,N,,,,,,,Qualifier,AEREL,describes relationship of,DESCRIBES,AETERM,text,200.0,,,Y,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AERLDEV,,N,,,,,,,Qualifier,AERLDEV,describes relationship of,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AERELNST,C83210,N,,,,,,,Qualifier,AERELNST,describes relationship of,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEPATT,C83208,N,,,,,,,Qualifier,AEPATT,identifies a pattern of,IDENTIFIES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AEOUT,C49489,N,C66768,OUT,,,,,Qualifier,AEOUT,describes the outcome of,DESCRIBES,AETERM,text,200.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESCAN,C83211,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESCAN,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
2025-07-01,C179175,3-4,,AE,AE.AETERM,AE,Adverse Event Free Text Format,AESCONG,C83117,N,C66742,NY,NY_NY,N;Y,,,Qualifier,AESCONG,describes relationship of,DESCRIBES,AETERM,text,1.0,,,N,N,Collected,Investigator,,
