package_date,short_name,bc_id,ncit_code,parent_bc_id,bc_categories,synonyms,result_scales,definition,system,system_name,code,dec_id,ncit_dec_code,dec_label,data_type,example_set
2024-12-16,Waist Circumference,C100948,C100948,,Vital Signs,WSTCIR,Quantitative,"A circumferential measurement of the waist, which may be classified as the area immediately below the lowest rib, at the narrowest part of the torso, midpoint between the lowest rib and the iliac crest, or immediately above the iliac crest.",http://loinc.org/,LOINC,56115-9,C82515,C82515,Collection Date Time,datetime,
2024-12-16,Waist Circumference,C100948,C100948,,Vital Signs,WSTCIR,Quantitative,"A circumferential measurement of the waist, which may be classified as the area immediately below the lowest rib, at the narrowest part of the torso, midpoint between the lowest rib and the iliac crest, or immediately above the iliac crest.",http://loinc.org/,LOINC,56115-9,C13717,C13717,Anatomic Site,string,Waist
2024-12-16,Waist Circumference,C100948,C100948,,Vital Signs,WSTCIR,Quantitative,"A circumferential measurement of the waist, which may be classified as the area immediately below the lowest rib, at the narrowest part of the torso, midpoint between the lowest rib and the iliac crest, or immediately above the iliac crest.",http://loinc.org/,LOINC,56115-9,C42578,C42578,Unit of Length,string,
2024-12-16,Waist Circumference,C100948,C100948,,Vital Signs,WSTCIR,Quantitative,"A circumferential measurement of the waist, which may be classified as the area immediately below the lowest rib, at the narrowest part of the torso, midpoint between the lowest rib and the iliac crest, or immediately above the iliac crest.",http://loinc.org/,LOINC,56115-9,C70856,C70856,Observation Result,decimal,
2024-06-27,New Lesion Progression,C103420,C103420,C35461,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;RECIST 1.1;iRECIST;RAJKUMAR MYELOMA 2011,NEWLPROG,Nominal,An assessment of the equivocality of disease progression based on a newly identified lesion.,,,,C25372,C25372,Category,string,RECIST 1.1;RAJKUMAR MYELOMA 2011
2024-06-27,New Lesion Progression,C103420,C103420,C35461,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;RECIST 1.1;iRECIST;RAJKUMAR MYELOMA 2011,NEWLPROG,Nominal,An assessment of the equivocality of disease progression based on a newly identified lesion.,,,,C70856,C70856,Observation Result,string,Equivocal;Unequivocal;N;Y;U
2024-06-27,New Lesion Progression,C103420,C103420,C35461,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;RECIST 1.1;iRECIST;RAJKUMAR MYELOMA 2011,NEWLPROG,Nominal,An assessment of the equivocality of disease progression based on a newly identified lesion.,,,,C51824,C51824,Evaluator,string,Investigator;Independent Assessor
2024-06-27,New Lesion Progression,C103420,C103420,C35461,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;RECIST 1.1;iRECIST;RAJKUMAR MYELOMA 2011,NEWLPROG,Nominal,An assessment of the equivocality of disease progression based on a newly identified lesion.,,,,C117043,C117043,Evaluator Identifier,string,Radiologist 1;Radiologist 2;Radiologist 3
2024-06-27,New Lesion Progression,C103420,C103420,C35461,Oncology Standards;Disease Response;Disease Response Criteria;Disease Response and Clinical Classification;RS;RECIST 1.1;iRECIST;RAJKUMAR MYELOMA 2011,NEWLPROG,Nominal,An assessment of the equivocality of disease progression based on a newly identified lesion.,,,,C82515,C82515,Collection Date Time,datetime,
2023-12-12,Failure to Meet Randomization Criteria,C105448,C105448,C74590,Subject Disposition;Protocol Disposition Events,,Nominal,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group.,,,,C82571,C82571,Reported Event Term,string,
2023-12-12,Failure to Meet Randomization Criteria,C105448,C105448,C74590,Subject Disposition;Protocol Disposition Events,,Nominal,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group.,,,,C25372,C25372,Category,string,Disposition Event
2023-12-12,Failure to Meet Randomization Criteria,C105448,C105448,C74590,Subject Disposition;Protocol Disposition Events,,Nominal,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group.,,,,C25692,C25692,Subcategory,string,Study Participation
2023-12-12,Failure to Meet Randomization Criteria,C105448,C105448,C74590,Subject Disposition;Protocol Disposition Events,,Nominal,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group.,,,,C82517,C82517,Observation Start Date Time,datetime,
2023-12-12,Failure to Meet Randomization Criteria,C105448,C105448,C74590,Subject Disposition;Protocol Disposition Events,,Nominal,An indication that the subject has been unable to fulfill the criteria required for assignment into a randomized group.,,,,C82977,C82977,Dictionary-derived Term,string,Failure to Meet Randomization Criteria
2025-04-01,Glucose Measurement,C105585,C105585,C49237,Laboratory Tests;Chemistry Tests,Glucose,Quantitative;Ordinal,The determination of the amount of glucose present in a sample.,,,,C70856,C70856,Observation Result,string,
2025-04-01,Glucose Measurement,C105585,C105585,C49237,Laboratory Tests;Chemistry Tests,Glucose,Quantitative;Ordinal,The determination of the amount of glucose present in a sample.,,,,C93566,C93566,Fasting Status Indicator,boolean,
2025-04-01,Glucose Measurement,C105585,C105585,C49237,Laboratory Tests;Chemistry Tests,Glucose,Quantitative;Ordinal,The determination of the amount of glucose present in a sample.,,,,C48207,C48207,Unit of Concentration,string,mg/dL;g/L;mmol/L
2025-04-01,Glucose Measurement,C105585,C105585,C49237,Laboratory Tests;Chemistry Tests,Glucose,Quantitative;Ordinal,The determination of the amount of glucose present in a sample.,,,,C70713,C70713,Biospecimen Type,string,Blood;Plasma;Serum;Urine
2025-04-01,Glucose Measurement,C105585,C105585,C49237,Laboratory Tests;Chemistry Tests,Glucose,Quantitative;Ordinal,The determination of the amount of glucose present in a sample.,,,,C82535,C82535,Test Method,string,Test Strip;Dipstick
2025-04-01,Cholesterol Measurement,C105586,C105586,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,CHOL;Cholesterol;Total Cholesterol,Quantitative,The determination of the amount of total cholesterol present in a sample.,,,,C70856,C70856,Observation Result,decimal,
2025-04-01,Cholesterol Measurement,C105586,C105586,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,CHOL;Cholesterol;Total Cholesterol,Quantitative,The determination of the amount of total cholesterol present in a sample.,,,,C93566,C93566,Fasting Status Indicator,boolean,
2025-04-01,Cholesterol Measurement,C105586,C105586,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,CHOL;Cholesterol;Total Cholesterol,Quantitative,The determination of the amount of total cholesterol present in a sample.,,,,C48207,C48207,Unit of Concentration,string,mmol/L;umol/L;mg/dL;ug/dL
2025-04-01,Cholesterol Measurement,C105586,C105586,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,CHOL;Cholesterol;Total Cholesterol,Quantitative,The determination of the amount of total cholesterol present in a sample.,,,,C70713,C70713,Biospecimen Type,string,Plasma;Serum;Urine
2025-04-01,High Density Lipoprotein Cholesterol Measurement,C105587,C105587,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,HDL;HDL Cholesterol,Quantitative,The determination of the amount of high-density lipoprotein cholesterol present in a sample.,,,,C70856,C70856,Observation Result,decimal,
2025-04-01,High Density Lipoprotein Cholesterol Measurement,C105587,C105587,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,HDL;HDL Cholesterol,Quantitative,The determination of the amount of high-density lipoprotein cholesterol present in a sample.,,,,C93566,C93566,Fasting Status Indicator,boolean,
2025-04-01,High Density Lipoprotein Cholesterol Measurement,C105587,C105587,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,HDL;HDL Cholesterol,Quantitative,The determination of the amount of high-density lipoprotein cholesterol present in a sample.,,,,C48207,C48207,Unit of Concentration,string,mmol/L;umol/L;mg/dL;ug/dL
2025-04-01,High Density Lipoprotein Cholesterol Measurement,C105587,C105587,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,HDL;HDL Cholesterol,Quantitative,The determination of the amount of high-density lipoprotein cholesterol present in a sample.,,,,C70713,C70713,Biospecimen Type,string,Plasma;Serum
2025-04-01,Low Density Lipoprotein Cholesterol Measurement,C105588,C105588,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,LDL;LDL Cholesterol,Quantitative,The determination of the amount of low-density lipoprotein cholesterol present in a sample.,,,,C70856,C70856,Observation Result,decimal,
2025-04-01,Low Density Lipoprotein Cholesterol Measurement,C105588,C105588,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,LDL;LDL Cholesterol,Quantitative,The determination of the amount of low-density lipoprotein cholesterol present in a sample.,,,,C93566,C93566,Fasting Status Indicator,boolean,
2025-04-01,Low Density Lipoprotein Cholesterol Measurement,C105588,C105588,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,LDL;LDL Cholesterol,Quantitative,The determination of the amount of low-density lipoprotein cholesterol present in a sample.,,,,C70713,C70713,Biospecimen Type,string,Plasma;Serum
2025-04-01,Low Density Lipoprotein Cholesterol Measurement,C105588,C105588,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,LDL;LDL Cholesterol,Quantitative,The determination of the amount of low-density lipoprotein cholesterol present in a sample.,,,,C48207,C48207,Unit of Concentration,string,mmol/L;umol/L;mg/dL;ug/dL
2025-04-01,Very Low Density Lipoprotein Cholesterol Measurement,C105589,C105589,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,VLDL;VLDL Cholesterol,Quantitative,The determination of the amount of very low-density lipoprotein cholesterol present in a sample.,,,,C70713,C70713,Biospecimen Type,string,Plasma;Serum
2025-04-01,Very Low Density Lipoprotein Cholesterol Measurement,C105589,C105589,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,VLDL;VLDL Cholesterol,Quantitative,The determination of the amount of very low-density lipoprotein cholesterol present in a sample.,,,,C93566,C93566,Fasting Status Indicator,boolean,
2025-04-01,Very Low Density Lipoprotein Cholesterol Measurement,C105589,C105589,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,VLDL;VLDL Cholesterol,Quantitative,The determination of the amount of very low-density lipoprotein cholesterol present in a sample.,,,,C48207,C48207,Unit of Concentration,string,mmol/L;umol/L;mg/dL;ug/dL
2025-04-01,Very Low Density Lipoprotein Cholesterol Measurement,C105589,C105589,C74949,Laboratory Tests;Chemistry Tests;Lipid Measurements,VLDL;VLDL Cholesterol,Quantitative,The determination of the amount of very low-density lipoprotein cholesterol present in a sample.,,,,C70856,C70856,Observation Result,decimal,
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C42578,C42578,Unit of Length,string,Millimeters;Centimeters;Inches
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C70856,C70856,Observation Result,decimal,
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C70713,C70713,Biospecimen Type,string,Tumor Tissue
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C171435,C171435,Specimen Anatomic Site,string,
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C25372,C25372,Category,string,
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C25692,C25692,Subcategory,string,
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C82515,C82515,Collection Date Time,datetime,
2025-04-01,Tumor Size Measurement,C106303,C106303,,Oncology Standards;Tumor Results;Tumor Measurements;Breast Cancer TAUG,,Quantitative,The measurement of the size of a tumor mass either clinically or in a surgically resected specimen.,,,,C13717,C13717,Anatomic Site,string,
